SAMPLE;SPECIES_NAME_PRINT;AUTHOR;FAMILY;SUBFAMILY;SUPERTRIBE;TRIBE;GENUS;SPECIES;DATASET;powo_id;gbif_usageKey;iNaturalist_id;WCVP_continent;WCVP_geographic_area;WCVP_WGSRPD_LEVEL_1_native;WCVP_WGSRPD_LEVEL_1_introduced;WCVP_WGSRPD_LEVEL_1_extinct;WCVP_WGSRPD_LEVEL_2_native;WCVP_WGSRPD_LEVEL_2_introduced;WCVP_WGSRPD_LEVEL_2_extinct;WCVP_WGSRPD_LEVEL_3_native;WCVP_WGSRPD_LEVEL_3_introduced;WCVP_WGSRPD_LEVEL_3_extinct;WCVP_lifeform_description;WCVP_climate_description;GROWTH_FORM;SOCIETAL_USE;COMMON_NAME;DUTCH_NAME;IUCN_redlistCategory;NCBI_SRA_id
S1262;Alyssum taygeteum;Heldr.;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Alyssum;taygeteum;BrassiWood/Kasper Hendriks;277828-1;3044836;515608;EUROPE;C. & S. Greece;1;NA;NA;13;NA;NA;GRC;NA;NA;subshrub;temperate;W;NA;NA;NA;NA;SRR22519389
S0947;Irenepharsus phasmatodes;Hewson;Brassicaceae;Brassicoideae;Camelinodae (I);Microlepidieae;Irenepharsus;phasmatodes;BrassiWood/Kasper Hendriks;900126-1;3041059;1228981;AUSTRALASIA;South Australia;5;NA;NA;50;NA;NA;SOA;NA;NA;annual or biennial;NA;H;NA;NA;NA;NA;SRR22519544
S1211;Arabidopsis thaliana;Heynh.;Brassicaceae;Brassicoideae;Camelinodae (I);Arabidopsideae;Arabidopsis;thaliana;BrassiWood/Kasper Hendriks;277970-1;3052436;55021;EUROPE;Temp. Eurasia to Trop. African Mts.;1, 2, 3, 4;2, 5, 7, 8, 9;NA;10, 11, 12, 13, 14, 20, 21, 23, 24, 25, 30, 32, 33, 34, 35, 36, 37, 38, 40;27, 50, 51, 71, 72, 73, 74, 75, 76, 77, 78, 85, 90;NA;AFG, ALB, ALG, ALT, AUT, AZO, BAL, BGM, BLR, BLT, BUL, CHC, CHN, CHS, CHT, CHX, CNY, COR, CVI, CYP, CZE, DEN, DJI, EAI, ERI, ETH, FIN, FRA, GER, GRB, GRC, HUN, IRE, IRN, ITA, JAP, KAZ, KEN, KGZ, KOR, KRA, KRI, KRY, LBS, LBY, MDR, MON, MOR, NCS, NEP, NET, NOR, PAK, PAL, POL, POR, ROM, RUC, RUE, RUN, RUS, RUW, RWA, SAR, SAU, SIC, SOM, SPA, SUD, SWE, SWI, TAN, TCS, TUE, TUN, TUR, TVA, TZK, UGA, UKR, UZB, WHM, WSB, YUG, ZAI;AGS, ALA, ARK, BRC, CAL, CLC, CLS, CNT, CPP, DEL, GEO, IDA, ILL, INI, IOW, KEG, KTY, LOU, MAI, MAS, MIC, MNT, MRY, MSI, MSO, NCA, NFL, NSW, NWH, NWJ, NWM, NWY, NZN, NZS, OHI, OKL, ONT, ORE, PEN, QUE, RHO, SCA, TAS, TEN, TEX, URU, UTA, VER, VRG, WAS, WDC, WIS, WVA;NA;annual;temperate;H;scientific;common wall cress, mouse-ear cress, mouse-ear cress, mouseear cress, thale cress, thale cress, thalius' cress, thalius' cress, wall cress, wall cress;zandraket;NA;SRR22519637
S1561;Lepidium arbuscula;Hillebr.;Brassicaceae;Brassicoideae;Camelinodae (I);Lepidieae;Lepidium;arbuscula;BrassiWood/Kasper Hendriks;286044-1;5376908;164509;PACIFIC;Hawaiian Is. (Oahu);6;NA;NA;63;NA;NA;HAW;NA;NA;subshrub or shrub;seasonally dry tropical;W;NA;NA;NA;Critically Endangered;SRR22519591
ERR4210213;Schimpera arabica;Hochst. & Steud.;Brassicaceae;Brassicoideae;Brassicodae (II);Isatideae;Schimpera;arabica;GAP phylogenomics;288837-1;3050640;868430;AFRICA;E. Medit. to W. & S. Iran and Arabian Pen.;2, 3;NA;NA;20, 34, 35;NA;NA;EGY, GST, IRN, IRQ, KUW, LBS, PAL, SAU, SIN;NA;NA;annual;desert or dry shrubland;H;NA;NA;NA;NA;NA
S0647;Thysanocarpus curvipes;Hook.;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Thysanocarpus;curvipes;BrassiWood/Kasper Hendriks;290797-1;3051417;58088;NORTHERN AMERICA;W. Canada to Mexico (Baja California Norte, Sonora);7;NA;NA;71, 73, 76, 77, 79;NA;NA;ARI, BRC, CAL, COL, IDA, MXN, NEV, NWM, ORE, UTA, WAS;NA;NA;annual;desert or dry shrubland;H;NA;lacepod mustard, sand fringepod, sand lacepod;NA;NA;SRR22519561
S0762;Tropidocarpum gracile;Hook.;Brassicaceae;Brassicoideae;Camelinodae (I);Descurainieae;Tropidocarpum;gracile;BrassiWood/Kasper Hendriks;329361-2;3050498;58091;NORTHERN AMERICA;California to Mexico (Baja California Norte);7;7;NA;76, 79;75;NA;CAL, MXN;NWY;NA;annual;desert or dry shrubland;H;NA;NA;NA;NA;SRR22519332
S1168;Physorhynchus brahuicus;Hook.;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Physorhynchus;brahuicus;BrassiWood/Kasper Hendriks;288150-1;5375442;792589;ASIA-TEMPERATE;S. Iran to Pakistan;3, 4;NA;NA;34, 40;NA;NA;AFG, IRN, PAK;NA;NA;subshrub or shrub;desert or dry shrubland;W;NA;NA;NA;NA;SRR22519505
8008999;Arabis blepharophylla;Hook. & Arn.;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Arabis;blepharophylla;Heidelberg/Marcus Koch;278047-1;5374908;60983;NORTHERN AMERICA;California;7;NA;NA;76;NA;NA;CAL;NA;NA;perennial;temperate;H;ornamental;coast rock cress;'rijstebrei scheefkelk';NA;SRR22519567
S1089;Mathewsia foliosa;Hook. & Arn.;Brassicaceae;Brassicoideae;Heliophilodae (V);Schizopetaleae;Mathewsia;foliosa;BrassiWood/Kasper Hendriks;286837-1;5377656;868169;SOUTHERN AMERICA;N. & C. Chile;8;NA;NA;85;NA;NA;CLC, CLN;NA;NA;subshrub;subtropical;H;NA;NA;NA;NA;SRR22519410
S0300;Lyrocarpa coulteri;Hook. & Harv.;Brassicaceae;Brassicoideae;Camelinodae (I);Physarieae;Lyrocarpa;coulteri;BrassiWood/Kasper Hendriks;286689-1;3040711;77916;NORTHERN AMERICA;California to Arizona and NW. Mexico;7;NA;NA;76, 79;NA;NA;ARI, CAL, MXN;NA;NA;subshrub;desert or dry shrubland;W;NA;NA;NA;NA;SRR22519392
S0305;Ammosperma cinereum;Hook.f.;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Ammosperma;cinereum;BrassiWood/Kasper Hendriks;277874-1;7501345;NA;AFRICA;N. Africa;2;NA;NA;20;NA;NA;ALG, LBY, MOR, TUN;NA;NA;NA;subtropical;H;NA;NA;NA;NA;SRR22519678
S0435;Pachycladon novae-zelandiae;Hook.f.;Brassicaceae;Brassicoideae;Camelinodae (I);Microlepidieae;Pachycladon;novae-zelandiae;BrassiWood/Kasper Hendriks;287899-1;5373410;408553;AUSTRALASIA;New Zealand;5;NA;NA;51;NA;NA;NZS;NA;NA;NA;NA;H;NA;NA;NA;NA;SRR22519353
S1579;Notothlaspi rosulatum;Hook.f.;Brassicaceae;Brassicoideae;Heliophilodae (V);Notothlaspideae;Notothlaspi;rosulatum;BrassiWood/Kasper Hendriks;287824-1;3043187;366605;AUSTRALASIA;New Zealand South I.;5;NA;NA;51;NA;NA;NZS;NA;NA;biennial;temperate;H;NA;NA;NA;NA;SRR22519589
S0407;Lepidostemon pedunculosus;Hook.f. & Thomson;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Lepidostemon;pedunculosus;BrassiWood/Kasper Hendriks;286474-1;5373561;903327;ASIA-TEMPERATE;Sikkim to Tibet;3, 4;NA;NA;36, 40;NA;NA;CHT, EHM;NA;NA;annual;subalpine or subarctic;H;NA;NA;NA;NA;SRR22519365
S1241;Atelanthera perpusilla;Hook.f. & Thomson;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Atelanthera;perpusilla;BrassiWood/Kasper Hendriks;278765-1;3040466;NA;ASIA-TEMPERATE;Afghanistan to C. Asia and W. Himalaya;3, 4;NA;NA;32, 34, 36, 40;NA;NA;AFG, CHT, KGZ, PAK, TZK, UZB, WHM;NA;NA;annual;temperate;H;NA;NA;NA;NA;SRR22519621
S1038;Eudema rupestris;Humb. & Bonpl.;Brassicaceae;Brassicoideae;Heliophilodae (V);Eudemeae;Eudema;rupestris;BrassiWood/Kasper Hendriks;97981-2;5373107;792404;SOUTHERN AMERICA;Ecuador (Mt. Assuay);8;NA;NA;83;NA;NA;ECU;NA;NA;perennial or subshrub;subalpine or subarctic;H;NA;NA;NA;NA;SRR22519527
S0285;Carinavalva glauca;Ising;Brassicaceae;Brassicoideae;Camelinodae (I);Microlepidieae;Carinavalva;glauca;BrassiWood/Kasper Hendriks;280802-1;3047268;1451220;AUSTRALASIA;C. South of Australia;5;NA;NA;50;NA;NA;SOA;NA;NA;annual;desert or dry shrubland;H;NA;NA;NA;NA;SRR22519664
SRR8528342;Geococcus pusillus;J. Drumm. ex Harv.;Brassicaceae;Brassicoideae;Camelinodae (I);Microlepidieae;Geococcus;pusillus;BrassiToL/Luke Nikolov;284489-1;5376079;1048858;AUSTRALASIA;S. & SE. Australia to Tasmania (King I.);5;NA;NA;50;NA;NA;NSW, SOA, TAS, VIC, WAU;NA;NA;annual;desert or dry shrubland;H;NA;NA;NA;NA;SRR8528342
S0899;Petiniotia purpurascens;J. L�onard;Brassicaceae;Brassicoideae;Hesperodae (III);Anchonieae;Petiniotia;purpurascens;BrassiWood/Kasper Hendriks;288081-1;3051223;1498275;ASIA-TEMPERATE;C. & S. Iran to S. Pakistan;3, 4;NA;NA;34, 40;NA;NA;AFG, IRN, PAK;NA;NA;annual;desert or dry shrubland;H;NA;NA;NA;NA;SRR22519652
S0282;Anelsonia eurycarpa;J.F. Macbr. & Payson;Brassicaceae;Brassicoideae;Camelinodae (I);Boechereae;Anelsonia;eurycarpa;BrassiWood/Kasper Hendriks;13222-2;3048698;75438;NORTHERN AMERICA;WC. U.S.A.;7;NA;NA;73, 76;NA;NA;CAL, IDA, MNT, NEV;NA;NA;subshrub;subalpine or subarctic;H;NA;NA;NA;NA;SRR22519425
SRR8528336;Peltaria alliacea;Jacq.;Brassicaceae;Brassicoideae;Brassicodae (II);Thlaspideae;Peltaria;alliacea;BrassiToL/Luke Nikolov;288039-1;3052632;371903;EUROPE;E. Austria to Romania;1;1;NA;11, 13;11;NA;ALB, AUT, HUN, ROM, YUG;CZE;NA;subshrub;temperate;H;crop;garlic cress;knoflookmosterd;NA;SRR8528336
S1177;Parryodes axilliflora;Jafri;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Parryodes;axilliflora;BrassiWood/Kasper Hendriks;2412063-4;3046615;NA;ASIA-TEMPERATE;S. Tibet to Bhutan;3, 4;NA;NA;36, 40;NA;NA;CHT, EHM;NA;NA;perennial;subalpine or subarctic;H;NA;NA;NA;NA;SRR22519503
S1250;Microstigma deflexum;Juz. ex Czerniak.;Brassicaceae;Brassicoideae;Hesperodae (III);Anchonieae;Microstigma;deflexum;BrassiWood/Kasper Hendriks;287104-1;5376093;1015558;ASIA-TEMPERATE;SW. Siberia to Mongolia;3;NA;NA;30, 37;NA;NA;ALT, MON, TVA;NA;NA;perennial;temperate;H;NA;NA;NA;NA;SRR22519395
S1251;Cryptospora falcata;Kar. & Kir.;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Cryptospora;falcata;BrassiWood/Kasper Hendriks;281884-1;5373592;903277;ASIA-TEMPERATE;NE. Iran to W. Xinjiang;3;NA;NA;32, 34, 36;NA;NA;AFG, CHX, IRN, KAZ, KGZ, TKM, TZK, UZB;NA;NA;annual;temperate;H;NA;NA;NA;NA;SRR22519394
S0890;Aethionema erinaceum;Khosravi & Mumm.;Brassicaceae;Aethionemoideae;NA;Aethionemeae;Aethionema;erinaceum;BrassiWood/Kasper Hendriks;77095101-1;3693658;NA;ASIA-TEMPERATE;S. Iran;3;NA;NA;34;NA;NA;IRN;NA;NA;subshrub;temperate;W;NA;NA;NA;NA;SRR22519660
S1187;Clausia aprica (western group);Korn.-Trotzky;Brassicaceae;Brassicoideae;Hesperodae (III);Dontostemoneae;Clausia;aprica;BrassiWood/Kasper Hendriks;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;H;NA;NA;NA;NA;SRR22519644
S1188;Clausia aprica (eastern group);Korn.-Trotzky;Brassicaceae;Brassicoideae;Hesperodae (III);Dontostemoneae;Clausia;aprica;BrassiWood/Kasper Hendriks;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;H;NA;NA;NA;NA;SRR22519643
S0280;Glastaria glastifolia;Kuntze;Brassicaceae;Brassicoideae;Brassicodae (II);Isatideae;Glastaria;glastifolia;BrassiWood/Kasper Hendriks;284500-1;3044720;1091348;ASIA-TEMPERATE;E. Türkiye to N. Iraq and Jordan;3;NA;NA;34;NA;NA;IRQ, LBS, PAL, TUR;NA;NA;annual;temperate;H;NA;NA;NA;NA;SRR22519447
S0055;Erysimum cheiranthoides;L.;Brassicaceae;Brassicoideae;Camelinodae (I);Erysimeae;Erysimum;cheiranthoides;BrassiWood/Kasper Hendriks;307231-2;3048266;77068;EUROPE;Europe to N. Japan;1, 3, 4;1, 2, 5, 7, 8;NA;10, 11, 12, 13, 14, 30, 31, 32, 33, 36, 37, 38, 40;10, 13, 14, 20, 51, 70, 71, 72, 73, 74, 75, 76, 77, 78, 85;NA;ALT, AMU, AUT, BGM, BLR, BLT, BRY, BUL, CHC, CHI, CHM, CHN, CHX, CTA, CZE, DEN, FIN, FRA, GER, HUN, ICE, IRK, JAP, KAM, KAZ, KGZ, KHA, KOR, KRA, KUR, MAG, MON, NCS, NET, NOR, POL, PRM, ROM, RUC, RUE, RUN, RUS, RUW, SAK, SWE, SWI, TCS, TVA, UKR, WHM, WSB, YAK, YUG;ABT, AGS, ALG, ARK, ASK, BRC, CAL, CNT, COL, EGY, FLA, GRB, IDA, ILL, INI, IOW, IRE, ITA, KAN, KRY, KTY, LAB, MAI, MAN, MAS, MIC, MIN, MNT, MRY, MSO, NBR, NCA, NDA, NEB, NEV, NFL, NSC, NUN, NWH, NWJ, NWM, NWT, NWY, NZS, OHI, ONT, ORE, PEI, PEN, QUE, RHO, SAS, SDA, TEN, UTA, VER, VRG, WAS, WDC, WIS, WVA, WYO, YUK;NA;annual;temperate;H;NA;NA;gewone steenraket;NA;SRR22519585
S0335;Myagrum perfoliatum;L.;Brassicaceae;Brassicoideae;Brassicodae (II);Isatideae;Myagrum;perfoliatum;BrassiWood/Kasper Hendriks;287244-1;3047811;50830;EUROPE;Europe to Iran;1, 3;1, 2, 3, 5, 7;NA;11, 12, 13, 14, 33, 34;10, 11, 14, 20, 38, 50, 77, 78;NA;ALB, BUL, FRA, GER, GRC, HUN, IRN, IRQ, ITA, KRY, LBS, NCS, PAL, ROM, SIC, SPA, SWI, TCS, TUE, TUR, YUG;ALG, AUT, CZE, KOR, NOR, QLD, RUC, SOA, SWE, TEX, VIC, VRG;NA;annual;temperate;H;NA;mitrecress;myagrum;NA;SRR22519579
S0371;Vella pseudocytisus;L.;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Vella;pseudocytisus;BrassiWood/Kasper Hendriks;290995-1;5375673;514249;EUROPE;C. Spain;1, 2;NA;NA;12, 20;NA;NA;ALG, MOR, SPA;NA;NA;subshrub or shrub;temperate;W;NA;NA;NA;NA;SRR22519575
S0450;Anastatica hierochuntica;L.;Brassicaceae;Brassicoideae;Heliophilodae (V);Anastaticeae;Anastatica;hierochuntica;BrassiWood/Kasper Hendriks;277878-1;3041976;490035;AFRICA;Canary Is. (Fuertaventura), Sahara to Iraq and Arabian Pen., S. Iran to SW. Pakistan;2, 3, 4;NA;NA;20, 21, 22, 24, 34, 35, 40;NA;NA;ALG, CNY, EGY, ERI, GST, IRN, IRQ, KUW, LBS, LBY, MLI, MOR, MTN, OMA, PAK, PAL, SAU, SUD, TUN, WSA, YEM;NA;NA;annual;desert or dry shrubland;H;NA;NA;NA;NA;SRR22519351
S0547;Lepidium virginicum;L.;Brassicaceae;Brassicoideae;Camelinodae (I);Lepidieae;Lepidium;virginicum;BrassiWood/Kasper Hendriks;138164-2;5376648;77676;EUROPE;Canada to C. America, Caribbean;7, 8;1, 2, 3, 4, 5, 6, 8;NA;71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81;10, 11, 12, 13, 14, 20, 21, 24, 27, 31, 33, 34, 35, 36, 38, 40, 42, 50, 60, 61, 62, 63, 81, 82, 83, 84, 85;NA;ALA, ARI, ARK, BAH, BLZ, BRC, CAL, CAY, CNT, COL, COS, CUB, DEL, DOM, ELS, FLA, GEO, GUA, HAI, HON, IDA, ILL, INI, IOW, JAM, KAN, KTY, LEE, LOU, MAI, MAS, MIC, MIN, MNT, MRY, MSI, MSO, MXC, MXE, MXG, MXN, MXS, MXT, NCA, NEB, NEV, NFL, NSC, NWH, NWJ, NWM, NWY, OHI, OKL, ONT, ORE, PAN, PEI, PEN, PUE, QUE, RHO, SCA, TEN, TEX, TRT, UTA, VER, VNA, VRG, WAS, WDC, WIN, WIS, WVA, WYO;AGW, ALB, ALG, AUT, AZO, BER, BGM, BLT, BOL, BZC, BZE, BZL, BZS, CHC, CHM, CHN, CHS, CKI, CLM, CNY, COO, CPP, CRL, CZE, DEN, DSV, ECU, EHM, ERI, ETH, FIN, FRA, FRG, GAL, GER, GRB, GRC, HAW, HUN, IRE, ITA, JAW, KOR, KRI, KRY, MCS, MDR, MOR, MRN, MRQ, NAT, NET, NOR, NSW, NUE, NWC, OGA, PAK, PAR, PER, PHI, POL, POR, PRM, QLD, ROM, SAU, SIC, SPA, SUR, SWE, SWI, TAI, TCS, TON, TUR, TVL, UKR, VEN, VIC, WHM, YUG;NA;annual or biennial;temperate;H;NA;least pepperwort, peppergrass, poor-man's pepper, poor-man's pepper, poor-man's peppergrass, poor-man's peppergrass, poor-man's-pepper, poorman pepperweed, poorman's pepper, poorman's pepperwort, virginia cress, virginia pepper cress, virginia peppergrass, virginia peppergrass, virginia pepperweed, virginia pepperweed, virginian peppercress;amerikaanse kruidkers;NA;SRR22519465
S0560;Biscutella didyma;L.;Brassicaceae;Brassicoideae;Heliophilodae (V);Biscutelleae;Biscutella;didyma;BrassiWood/Kasper Hendriks;279004-1;3041843;450160;EUROPE;C. & E. Medit.;1, 2, 3;NA;NA;12, 13, 20, 24, 34, 35;NA;NA;ALB, ALG, COR, CYP, EAI, EGY, GRC, IRN, IRQ, ITA, KRI, LBS, LBY, PAL, SAR, SAU, SIC, SIN, SUD, TUN, TUR, YUG;NA;NA;annual;subtropical;H;NA;NA;NA;NA;SRR22519461
S0583;Raphanus sativus;L.;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Raphanus;sativus;BrassiWood/Kasper Hendriks;288491-1;7678610;55410;EUROPE;a cultigen from Medit.;1;1, 2, 3, 4, 5, 6, 7, 8;NA;13;11, 12, 13, 14, 20, 21, 22, 23, 24, 25, 26, 27, 30, 31, 32, 34, 35, 36, 38, 40, 41, 42, 50, 60, 62, 63, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 83, 84, 85;NA;GRC, ITA, SIC, YUG;AGE, AGS, AGW, ALA, ALG, ALT, AND, ANG, ARI, ARK, ASK, ASS, BAL, BAN, BER, BGM, BLR, BLT, BOL, BRC, BUL, BZL, BZS, CAL, CHC, CHH, CHI, CHM, CHN, CHQ, CHS, CHT, CHX, CLC, CLM, CLN, CLS, CNT, CNY, COL, COR, COS, CRL, CUB, CYP, DEL, DOM, EAI, ECU, EGY, EHM, ELS, ERI, ETH, FIJ, FLA, GAL, GEO, GGI, GIL, GST, GUA, HAI, HAW, IDA, ILL, IND, INI, IOW, IRQ, JAW, KAN, KAZ, KEN, KOR, KRI, KRY, KUW, KZN, LAB, LBS, LBY, LEE, LOU, MAI, MAN, MAS, MDR, MIC, MIN, MNT, MOR, MRN, MRS, MRY, MSI, MSO, MTN, MXI, MXN, NBR, NCA, NCB, NDA, NEB, NEP, NEV, NFL, NSC, NSW, NWC, NWH, NWJ, NWM, NWY, OHI, OKL, OMA, ONT, ORE, PAK, PAL, PAR, PEI, PEN, POR, PRM, PUE, QLD, QUE, RHO, RUC, RUE, RUN, RUS, RWA, SAR, SAS, SAU, SCA, SDA, SOA, SPA, SRL, SUD, SUM, SWI, TAN, TAS, TEX, TKM, TUE, TUN, TUR, TVL, TZK, UKR, URU, UTA, UZB, VIC, VIE, VRG, WAK, WAS, WAU, WDC, WHM, WIN, WIS, WVA, WYO, YEM, ZIM;NA;annual or biennial;temperate;H;crop;cultivated radish, garden radish;tuinradijs;NA;SRR22519456
S0591;Lepidium latifolium;L.;Brassicaceae;Brassicoideae;Camelinodae (I);Lepidieae;Lepidium;latifolium;BrassiWood/Kasper Hendriks;286262-1;5376692;60153;EUROPE;Temp. Eurasia, N. Africa to Arabian Pen.;1, 2, 3, 4;1, 2, 3, 5, 7, 8;1;10, 11, 12, 13, 14, 20, 30, 32, 33, 34, 35, 36, 37, 38, 40;10, 11, 12, 13, 14, 21, 31, 50, 71, 72, 73, 74, 75, 76, 77, 79, 83, 85;11, 12;AFG, ALB, ALG, ALT, BGM, BLT, BUL, CHC, CHI, CHM, CHN, CHQ, CHS, CHT, CHX, CYP, DEN, EAI, EGY, EHM, FRA, GRB, GRC, IRK, IRN, IRQ, ITA, KAZ, KGZ, KOR, KRA, KRY, LBS, LBY, MON, MOR, NCS, NET, PAK, PAL, ROM, RUC, RUE, RUS, SAR, SIC, SPA, SWE, TCS, TKM, TUE, TUR, TZK, UKR, UZB, WHM, WSB, YEM, YUG;ABT, AGE, ARI, AZO, BAL, BLR, BOL, BRC, CAL, CNT, COL, CZE, GER, IDA, ILL, IRE, KAN, KRI, MAI, MAS, MNT, MSO, MXE, NEB, NEV, NWH, NWM, NWY, ORE, POR, PRM, QLD, QUE, RHO, RUW, SOA, SWI, TAS, TEX, UTA, WAS, WYO;AUT, COR;perennial;temperate;H;NA;broad-leaved peppergrass, perennial peppergrass;peperkers;NA;SRR22519454
S0731;Crambe maritima;L.;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Crambe;maritima;BrassiWood/Kasper Hendriks;281657-1;5373533;55399;EUROPE;Europe to Caucasus;1, 3;1, 7;NA;10, 11, 12, 13, 14, 33;11, 73;NA;BGM, BLT, BUL, DEN, FIN, FRA, GER, GRB, IRE, KRY, NCS, NET, NOR, ROM, RUS, RUW, SWE, TCS, TUE, UKR;CZE, ORE;NA;perennial;temperate;H;NA;NA;zeekool;NA;SRR22519434
S0732;Clypeola jonthlaspi;L.;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Clypeola;jonthlaspi;BrassiWood/Kasper Hendriks;281341-1;5375313;334309;EUROPE;SC. Europe, Medit. to W. Pakistan and Arabian Pen.;1, 2, 3, 4;NA;NA;11, 12, 13, 14, 20, 32, 33, 34, 35, 40;NA;NA;AFG, ALB, ALG, BAL, BUL, COR, CYP, EAI, FRA, GRC, GST, IRN, IRQ, ITA, KAZ, KGZ, KRI, KRY, LBS, LBY, MOR, NCS, OMA, PAK, PAL, ROM, SAR, SAU, SIC, SIN, SPA, SWI, TCS, TKM, TUE, TUN, TUR, TZK, UZB, YUG;NA;NA;annual;subtropical;H;NA;NA;NA;NA;SRR22519433
S0733;Cardamine pratensis;L.;Brassicaceae;Brassicoideae;Camelinodae (I);Cardamineae;Cardamine;pratensis;BrassiWood/Kasper Hendriks;45334-2;7972010;54531;EUROPE;Greenland to NC. & NE. U.S.A., Azores, Temp. Eurasia, Ethiopia;1, 2, 3, 7;5, 7;NA;10, 11, 12, 13, 14, 20, 21, 24, 30, 31, 32, 33, 36, 37, 38, 70, 72, 74, 75;51, 71;NA;ALB, ALT, AMU, AUT, AZO, BGM, BLR, BLT, BRY, BUL, CHI, CHM, CHT, CHX, CNT, CTA, CZE, DEN, ETH, FIN, FRA, GER, GNL, GRB, HUN, ILL, INI, IRE, IRK, ITA, JAP, KAZ, KHA, KOR, KRA, KUR, MAI, MAS, MIC, MIN, MON, MOR, NBR, NCS, NET, NFL, NOR, NSC, NWH, NWJ, NWY, OHI, ONT, PEN, POL, POR, PRM, QUE, ROM, RUC, RUE, RUN, RUS, RUW, SPA, SWE, SWI, TUE, TVA, UKR, VER, WIS, WSB, YAK, YUG;BRC, NZN, NZS;NA;perennial;temperate;H;NA;cuckoo flower, european field bittercress, lady's smock, meadow bittercress;pinksterbloem;NA;SRR22519432
S0740;Alyssum montanum;L.;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Alyssum;montanum;BrassiWood/Kasper Hendriks;277653-1;3044912;334302;EUROPE;France to SW. Germany;1;1;NA;11, 12, 13, 14;10;NA;ALB, AUT, BLR, BLT, BUL, CZE, FRA, GER, GRC, HUN, KRY, POL, ROM, RUC, RUS, SWI, UKR, YUG;GRB;NA;subshrub;temperate;W;NA;NA;bergschildzaad;NA;SRR22519427
S0892;Heliophila integrifolia;L.;Brassicaceae;Brassicoideae;Heliophilodae (V);Heliophileae;Heliophila;integrifolia;BrassiWood/Kasper Hendriks;284681-1;5374316;NA;AFRICA;Cape Prov.;2;NA;NA;27;NA;NA;CPP;NA;NA;annual;subtropical;H;NA;NA;NA;NA;SRR22519659
S0902;Draba incana;L.;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Draba;incana;BrassiWood/Kasper Hendriks;282687-1;3049770;162029;EUROPE;C. & E. Canada to NC. & NE. U.S.A., Greenland, N. Europe, W. Alps, C. Pyrenees;1, 7;5;1;10, 11, 12, 14, 70, 71, 72, 74, 75;51;12;BLT, DEN, FIN, FOR, FRA, GNL, GRB, ICE, IRE, LAB, MAN, MIC, MIN, NBR, NFL, NOR, ONT, PEI, QUE, RUE, RUN, RUW, SWE, SWI;NZS;SPA;biennial or perennial;subalpine or subarctic;H;NA;hoary whitlow-grass, twisted draba, twisted whitlow-grass;NA;NA;SRR22519650
